10;Justice;335;2 485 818;1 175 205;3 661 023;2 485 818;1 031 675;3 517 493
12;Premier ministre;115;0;150 087 308;150 087 308;0;150 087 308;150 087 308
12;Premier ministre;126;31 011 200;6 462 375;37 473 575;31 011 200;6 462 375;37 473 575
12;Premier ministre;129;253 767 139;353 816 117;607 583 256;253 767 139;337 342 580;591 109 719
12;Premier ministre;158;2 027 110;113 967 849;115 994 959;2 027 110;114 292 169;116 319 279
12;Premier ministre;162;0;46 981 314;46 981 314;0;36 064 175;36 064 175
12;Premier ministre;164;185 201 628;28 254 281;213 455 909;185 201 628;28 664 840;213 866 468
12;Premier ministre;165;284 719 711;59 516 846;344 236 557;284 719 711;63 993 636;348 713 347
12;Premier ministre;308;54 937 039;26 881 062;81 818 101;54 937 039;38 604 154;93 541 193
12;Premier ministre;333;0;404 756 820;404 756 820;0;447 256 820;447 256 820
23;Écologie;109;0;5 490 207 727;5 490 207 727;0;5 490 207 727;5 490 207 727
23;Écologie;113;0;355 297 089;355 297 089;0;340 995 954;340 995 954
23;Écologie;135;0;496 136 086;496 136 086;0;359 849 586;359 849 586
23;Écologie;159;0;96 131 958;96 131 958;0;96 131 958;96 131 958
23;Écologie;170;0;206 800 000;206 800 000;0;206 800 000;206 800 000
23;Écologie;174;0;671 863 586;671 863 586;0;680 165 086;680 165 086
23;Écologie;177;0;1 206 253 547;1 206 253 547;0;1 206 253 547;1 206 253 547
23;Écologie;181;39 545 766;371 540 628;411 086 394;39 545 766;266 540 628;306 086 394
23;Écologie;190;0;1 423 341 869;1 423 341 869;0;1 352 341 869;1 352 341 869
23;Écologie;197;0;856 456 092;856 456 092;0;856 456 092;856 456 092
23;Écologie;198;0;4 080 200 000;4 080 200 000;0;4 080 200 000;4 080 200 000
23;Écologie;203;0;4 179 501 120;4 179 501 120;0;4 208 035 454;4 208 035 454
23;Écologie;205;0;143 474 506;143 474 506;0;145 500 177;145 500 177
23;Écologie;217;3 183 959 417;346 615 264;3 530 574 681;3 183 959 417;351 012 264;3 534 971 681
36;TravailEmploiSanté;102;0;5 421 987 408;5 421 987 408;0;5 373 475 753;5 373 475 753
36;TravailEmploiSanté;103;0;3 847 570 367;3 847 570 367;0;3 907 070 367;3 907 070 367
36;TravailEmploiSanté;111;0;63 304 949;63 304 949;0;80 584 949;80 584 949
36;TravailEmploiSanté;124;732 132 346;780 755 735;1 512 888 081;732 132 346;749 229 280;1 481 361 626
36;TravailEmploiSanté;155;599 766 214;138 541 874;738 308 088;599 766 214;142 291 874;742 058 088
36;TravailEmploiSanté;183;0;638 003 000;638 003 000;0;638 003 000;638 003 000
36;TravailEmploiSanté;204;0;738 272 348;738 272 348;0;738 272 348;738 272 348
38;Enseign sup et rech;150;1 127 335 691;11 637 519 756;12 764 855 447;1 127 335 691;11 383 911 728;12 511 247 419
38;Enseign sup et rech;172;0;5 121 883 472;5 121 883 472;0;5 121 883 472;5 121 883 472
38;Enseign sup et rech;187;0;1 250 149 388;1 250 149 388;0;1 250 149 388;1 250 149 388
38;Enseign sup et rech;193;0;1 398 540 042;1 398 540 042;0;1 398 540 042;1 398 540 042
38;Enseign sup et rech;231;0;2 171 203 845;2 171 203 845;0;2 168 623 845;2 168 623 845
39;Ville;147;0;527 440 722;527 440 722;0;539 982 832;539 982 832
